run,maxOpenCanopiesBelow1000Ft,maxOpenCanopiesBelow500Ft,minHorizontalSeparationFt,fullyOpenAltitudeMinFt,fullyOpenAltitudeMaxFt,fullyOpenAltitudeSpreadFt,canopyCongestionScore,canopyCollisionExposurePairSeconds,estimatedCanopyCollisionRiskPer10k
49,6,3,0.3227194489869022,2651.917685478953,3273.4273790320644,621.5096935531114,4,25.61,0.51
50,8,5,0.08538623279674344,2704.636270485811,3038.412430517679,333.7761600318677,28.7,136.17,2.72
51,7,5,0.035631833433036005,2693.2731277401185,3150.934630337046,457.6615025969277,50.9,130.41,2.61
52,7,5,0.10379198988895198,2730.0460427898756,3094.1480123448737,364.10196955499805,18.45,88.86,1.78
53,7,5,0.06470638535270626,2711.1553505828947,3082.915690456784,371.7603398738893,41.6,62.45,1.25
54,8,5,0.666551940771947,2683.7236895008664,3109.8803872096146,426.1566977087482,8.55,88.06,1.76
55,6,4,1.1182106765343678,2709.656579842022,3119.2214470656195,409.5648672235975,0,19.24,0.38
56,7,4,0.33498414408289967,2812.1184047352153,3086.29125813692,274.17285340170474,31.45,32.26,0.65
57,8,6,0.03434011410315854,2672.9289789578374,3220.3241599719904,547.395181014153,58.3,63.28,1.27
58,7,5,0.4468431106400846,2725.6741764749845,3185.273644161672,459.5994676866876,28.6,56.11,1.12
59,7,4,0.5495548087879931,2746.541769731102,3009.331727469138,262.78995773803626,8.35,10.94,0.22
60,6,4,0.4369045531257605,2558.8154905608235,3135.2916253611247,576.4761348003012,21.35,21.37,0.43
61,6,3,0.6506381071748083,2688.2973044646146,3073.7485008449653,385.45119638035067,6.2,0,0
62,9,7,1.2185647199225609,2632.83905375469,3300.891609610491,668.0525558558006,69.15,244.65,4.89
63,6,5,0.020068101018552463,2665.0797628936043,3156.198229524876,491.11846663127153,33.6,55.49,1.11
64,6,5,0.023721245991080546,2682.9158045437694,3050.344471803655,367.4286672598855,26.45,49.36,0.99
65,8,4,0.0980059722445074,2836.2930867848277,3235.077004050336,398.78391726550853,24.25,55.06,1.1
66,8,5,0.6837179115687971,2538.4252703393972,3088.8998975022105,550.4746271628132,32.8,104.24,2.08
67,8,6,0.08690927727213976,2682.2030366324834,3121.232497691358,439.0294610588744,15.1,34.78,0.7
68,7,4,0.21865796404525398,2708.0025749689644,3116.9065894810738,408.90401451210937,39.7,112,2.24
69,8,5,0.9678787321300296,2794.0507010140223,3130.9271941049624,336.87649309094013,0,27.64,0.55
70,7,4,0.09325443991356026,2558.2949592254727,3100.2310877595314,541.9361285340588,82.25,90.73,1.81
71,6,4,0.05700045555146411,2912.460604945816,3083.8787607793734,171.4181558335572,10,52.27,1.05
72,6,4,0.1242738909651008,2763.590080894095,3125.99152940078,362.401448506685,29,54.37,1.09
73,6,4,0.8116088397027382,2601.080157378493,3211.098631427532,610.018474049039,10.85,49.07,0.98
74,7,6,0.10053802035498986,2678.0725968837614,3115.8296935645963,437.7570966808348,9.75,33.65,0.67
75,8,5,0.3991941355494935,2775.9237701766783,3007.356544719585,231.43277454290683,7.65,64.77,1.3
76,7,5,0.07072584224550438,2763.7403511004118,3068.1865729422925,304.44622184188074,24.95,61.84,1.24
77,7,5,0.2359468570761878,2676.287168841963,3240.3135996699875,564.0264308280243,49.05,53.79,1.08
78,6,4,0.07489748028049019,2733.806780959452,3186.566327111337,452.75954615188493,0,0,0
79,7,4,0.17845835128944418,2721.5437924042635,3089.515079396456,367.9712869921923,34.9,54.92,1.1
80,7,5,0.04260605153414718,2805.205044191373,3231.198688418531,425.99364422715826,41.25,49.99,1
81,8,6,0.13235553805403585,2787.5692071898497,3174.9279074646315,387.35870027478177,8.6,36.15,0.72
82,8,6,0.3118044372218585,2706.9146045632497,3121.0818305123007,414.16722594905104,11.15,54.88,1.1
83,7,4,0.2171733171059332,2742.136366099073,3159.0584400229923,416.92207392391947,35.25,52.34,1.05
84,6,4,0.10270697762516652,2754.3849592575057,3102.0887472782074,347.7037880207017,0,0,0
85,5,3,0.7597747626240924,2729.3377536532234,3113.739337006816,384.40158335359274,0.5,30.01,0.6
86,7,5,0.06714325887786246,2830.316653395199,3221.94487973485,391.62822633965106,49.15,119.25,2.38
87,6,4,0.17850523021344727,2725.5348446544513,3232.251668083392,506.71682342894064,0,0,0
88,8,4,0.06948548611717938,2679.500185867811,3254.6515006158515,575.1513147480405,32.85,112.47,2.25
