cutoff_year_after_ge,target,before_years,after_years,before_hit,before_total,before_prop,after_hit,after_total,after_prop,diff_pct_points,relative_risk,rr_low,rr_high,odds_ratio,or_low,or_high,fisher_p,two_prop_p,full_distribution_chi2,full_distribution_df,full_distribution_p
2015,freefall_collision,1999-2014,2015-2025,34,398,0.08542713567839195,6,170,0.03529411764705882,-5.013301803133313,0.41314878892733564,0.17674140273195837,0.9657721346197036,0.3916786226685796,0.17700163078686149,0.984633292683962,0.03216073056231096,0.03247306905010694,79.20002226418362,7,2.005259482640103e-14
2015,landing,1999-2014,2015-2025,133,398,0.3341708542713568,64,170,0.3764705882352941,4.229973396393732,1.126581158779301,0.8879457574094398,1.4293498186413205,1.2030075187969924,0.8297526637362084,1.748389049945607,0.3373458098501102,0.332062080146462,79.20002226418362,7,2.005259482640103e-14
2016,canopy_collision,1999-2015,2016-2025,36,419,0.08591885441527446,6,149,0.040268456375838924,-4.565039803943553,0.46868008948545864,0.20156333706065718,1.0897866124035946,0.4463869463869464,0.2021610883857991,1.1203929096498095,0.07036088748536853,0.06740739415803532,93.6598656023998,7,2.1880138513684282e-17
2016,all_collision,1999-2015,2016-2025,70,419,0.16706443914081145,12,149,0.08053691275167785,-8.65275263891336,0.4820709491850431,0.26906223328843965,0.8637124475178184,0.43670490093847764,0.2392964493373493,0.8487787562271073,0.009638544115420786,0.009848823560189901,93.6598656023998,7,2.1880138513684282e-17
2016,freefall_collision,1999-2015,2016-2025,34,419,0.081145584725537,6,149,0.040268456375838924,-4.087712834969808,0.49624950651401495,0.21262940173458894,1.1581821267728423,0.47511312217194573,0.21423934534576686,1.1957331047776485,0.1340060398611307,0.0939395863778607,93.6598656023998,7,2.1880138513684282e-17
2016,landing,1999-2015,2016-2025,140,419,0.3341288782816229,57,149,0.3825503355704698,4.842145728884689,1.1449185043144774,0.89638831925819,1.462355491877103,1.2347049689440994,0.8401387249065042,1.8201710247099017,0.3164622272794701,0.2861630161349056,93.6598656023998,7,2.1880138513684282e-17
2017,canopy_collision,1999-2016,2017-2025,37,440,0.08409090909090909,5,128,0.0390625,-4.502840909090909,0.46452702702702703,0.18644015762281396,1.157397427624592,0.4427598330037354,0.19147202205679528,1.1992526387883262,0.12251109835977073,0.08662750646100159,108.99490575693562,7,1.483984052974248e-20
2017,all_collision,1999-2016,2017-2025,73,440,0.16590909090909092,9,128,0.0703125,-9.559659090909092,0.42380136986301364,0.21819586743101926,0.8231485005303699,0.38022332220559457,0.19609417646473384,0.8057247647956035,0.006265539859550255,0.006759574014342906,108.99490575693562,7,1.483984052974248e-20
2017,freefall_collision,1999-2016,2017-2025,36,440,0.08181818181818182,4,128,0.03125,-5.056818181818182,0.3819444444444444,0.13854435159423475,1.0529592651256514,0.3620071684587814,0.1474104253577208,1.0884524175412407,0.05037916276836985,0.04906241796856392,108.99490575693562,7,1.483984052974248e-20
2017,landing,1999-2016,2017-2025,145,440,0.32954545454545453,52,128,0.40625,7.670454545454547,1.2327586206896552,0.9617564418031775,1.5801233564242296,1.3920145190562614,0.9310321402734928,2.0865079640558606,0.11440434566466814,0.10854953366470244,108.99490575693562,7,1.483984052974248e-20
2018,canopy_collision,1999-2017,2018-2025,39,464,0.08405172413793104,3,104,0.028846153846153848,-5.520557029177719,0.3431952662721894,0.10813593943672453,1.0892122582479566,0.32368621477532367,0.12188686145564831,1.132014650545603,0.06048241389814219,0.05183126747642719,142.4687629823992,7,1.5443354222671701e-27
2018,all_collision,1999-2017,2018-2025,76,464,0.16379310344827586,6,104,0.057692307692307696,-10.610079575596815,0.35222672064777333,0.15771427491280599,0.7866355965994484,0.3125671321160043,0.14602352077099748,0.7691138157709019,0.004944658621573286,0.005393309508477273,142.4687629823992,7,1.5443354222671701e-27
2018,freefall_collision,1999-2017,2018-2025,37,464,0.07974137931034483,3,104,0.028846153846153848,-5.089522546419099,0.3617463617463617,0.11371894646430307,1.150735513345679,0.3427883328873428,0.1286938430419616,1.200759239087977,0.08733026427503407,0.06672887634854097,142.4687629823992,7,1.5443354222671701e-27
2018,landing,1999-2017,2018-2025,151,464,0.3254310344827586,46,104,0.4423076923076923,11.687665782493367,1.359144167091187,1.055901240876408,1.7494750412498263,1.6439826444393697,1.068744426793996,2.5314545548457836,0.03000126102903,0.023612252075291496,142.4687629823992,7,1.5443354222671701e-27
2019,canopy_collision,1999-2018,2019-2025,39,477,0.08176100628930817,3,91,0.03296703296703297,-4.87939733222752,0.4032121724429417,0.12732481392043846,1.2768921547982632,0.38286713286713286,0.1437207781687737,1.3411427044045796,0.12623633095374312,0.1030895064918893,107.96490169084207,7,2.4264670671684894e-20
2019,all_collision,1999-2018,2019-2025,77,477,0.16142557651991615,5,91,0.054945054945054944,-10.64805215748612,0.3403739118024832,0.1417013730443262,0.8175954639443312,0.30202355783751134,0.13418573897751357,0.8046155799350159,0.0055884800494756205,0.008085103775739011,107.96490169084207,7,2.4264670671684894e-20
